PUMA,mgra,HHID
7301,1347,35682
7301,1347,36339
7301,1347,36557
7301,1347,39377
7301,1347,40390
7301,1347,41266
7301,1347,44997
7301,1347,48029
7301,1347,50683
7301,1347,50768
7301,1350,8721
7301,1350,10746
7301,1350,11749
7301,1350,12302
7301,1350,16575
7301,1350,17244
7301,1350,19565
7301,1350,20895
7301,1350,23149
7301,1350,25423
7301,1350,29103
7301,1350,33565
7301,1350,34665
7301,1350,37382
7301,1350,41690
7301,1350,41690
7301,1350,41778
7301,1350,46123
7301,1350,47729
7301,1380,47
7301,1380,582
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,847
7301,1380,1225
7301,1380,1541
7301,1380,1541
7301,1380,1701
7301,1380,1834
7301,1380,2336
7301,1380,2336
7301,1380,2336
7301,1380,2336
7301,1380,2336
7301,1380,2336
7301,1380,2336
7301,1380,2875
7301,1380,2955
7301,1380,2955
7301,1380,3788
7301,1380,4214
7301,1380,4241
7301,1380,4419
7301,1380,4419
7301,1380,4419
7301,1380,4419
7301,1380,5625
7301,1380,5625
7301,1380,5625
7301,1380,5625
7301,1380,5927
7301,1380,5927
7301,1380,5927
7301,1380,5927
7301,1380,5927
7301,1380,5927
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,6034
7301,1380,7058
7301,1380,7058
7301,1380,7058
7301,1380,7722
7301,1380,8800
7301,1380,8921
7301,1380,9242
7301,1380,9242
7301,1380,9242
7301,1380,9242
7301,1380,9242
7301,1380,9335
7301,1380,9335
7301,1380,9335
7301,1380,9335
7301,1380,9353
7301,1380,9485
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
7301,1380,9515
