HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,child_present,WIF,HUPAC,VEH,numWorkers,BLD
28642,7312,2,56004.0,1070512,19,5.0,0,,4.0,1.0,2.0,5.0
28643,7322,5,94776.0,1070512,24,1.0,1,1.0,2.0,2.0,1.0,2.0
28644,7316,2,1134081.0,1070512,21,1.0,0,1.0,4.0,2.0,1.0,2.0
28645,7316,1,53850.0,1070512,79,4.0,0,,4.0,1.0,1.0,3.0
28646,7312,3,66774.0,1070512,6,7.0,0,,4.0,3.0,3.0,3.0
28647,7319,7,188927.34,1070512,19,3.0,1,3.0,2.0,5.0,4.0,2.0
28648,7303,4,161550.0,1070512,20,1.0,0,3.0,4.0,4.0,4.0,2.0
28649,7310,1,129240.0,1070512,45,4.0,0,,4.0,1.0,1.0,9.0
28650,7301,2,147764.4,1070512,19,1.0,0,2.0,4.0,2.0,2.0,2.0
28651,7318,2,53203.799999999996,1070512,13,3.0,0,0.0,4.0,2.0,0.0,2.0
28652,7312,5,177705.0,1070512,6,1.0,0,3.0,4.0,4.0,5.0,2.0
28653,7308,3,30156.0,1070512,15,3.0,1,1.0,2.0,1.0,1.0,8.0
28654,7318,2,83682.9,1070512,7,5.0,0,,4.0,2.0,1.0,2.0
28655,7316,2,93699.0,1070512,23,1.0,0,2.0,4.0,2.0,2.0,5.0
28656,7318,2,92945.09999999999,1070512,11,1.0,0,0.0,4.0,1.0,0.0,2.0
28657,7313,4,102315.0,1070512,71,1.0,1,2.0,1.0,2.0,2.0,2.0
28658,7311,2,631122.0,1070512,21,1.0,0,0.0,4.0,3.0,0.0,2.0
28659,7309,1,51696.0,1070512,21,4.0,0,,4.0,2.0,0.0,2.0
28660,7311,4,905757.0,1070512,20,1.0,1,2.0,2.0,2.0,2.0,2.0
28661,7318,3,170058.3,1070512,11,1.0,0,1.0,4.0,3.0,1.0,2.0
28662,7313,3,164781.0,1070512,19,1.0,0,0.0,4.0,2.0,0.0,2.0
28663,7303,4,129240.0,1070512,18,1.0,1,2.0,2.0,4.0,2.0,2.0
28664,7310,2,437908.2,1070512,5,1.0,0,0.0,4.0,0.0,0.0,2.0
28665,7301,4,70005.0,1070512,64,3.0,1,1.0,2.0,2.0,1.0,3.0
28666,7316,1,163165.5,1070512,21,4.0,0,,4.0,1.0,1.0,9.0
28667,7312,1,0.0,1070512,11,4.0,0,,4.0,1.0,0.0,5.0
28668,7307,1,191059.8,1070512,10,4.0,0,,4.0,2.0,1.0,1.0
28669,7304,1,105546.0,1070512,13,6.0,0,,4.0,1.0,1.0,3.0
28670,7309,5,113085.0,1070512,12,1.0,1,1.0,2.0,2.0,1.0,6.0
28671,7316,3,64835.399999999994,1070512,36,1.0,0,3.0,4.0,2.0,3.0,2.0
28672,7312,2,52449.9,1070512,20,1.0,0,0.0,4.0,1.0,0.0,5.0
28673,7308,7,248054.63999999998,1070512,25,2.0,0,2.0,4.0,6.0,6.0,2.0
28674,7322,4,64620.0,1070512,22,1.0,0,2.0,4.0,4.0,2.0,2.0
28675,7314,2,117069.9,1070512,17,1.0,0,0.0,4.0,3.0,0.0,2.0
28676,7301,5,49003.5,1070512,15,1.0,1,3.0,2.0,3.0,3.0,5.0
