mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
353,42,38,0,8,3,0,3,4,6,14,5,22,15,0,0,0,25,0,0,55,9,11,6,7,33,1,21,11,0,27,6,0,0,0,7,6,4,16,0,0,0,33
354,23,21,1,1,4,6,1,6,2,3,3,3,8,6,1,1,2,0,0,40,9,8,2,0,19,4,7,5,3,15,4,0,1,3,2,6,3,4,0,0,0,19
355,49,45,3,8,3,1,1,13,12,12,22,13,5,1,7,5,17,0,1,64,17,18,6,2,43,11,17,10,5,34,9,0,0,4,11,9,8,11,0,0,0,43
356,69,95,17,12,14,10,14,23,15,27,15,5,8,4,4,5,130,4,2,19,4,14,7,22,47,14,17,13,3,24,23,7,6,16,10,8,0,0,0,0,0,47
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,2,9,0,1,0,0,0,1,2,1,2,1,3,0,0,0,9,0,0,2,2,3,0,0,5,1,1,3,0,5,0,0,2,0,3,0,0,0,0,0,0,5
360,14,9,1,1,4,0,3,1,0,2,1,4,6,0,0,0,4,0,2,17,2,4,2,2,10,2,5,3,0,8,2,0,1,0,0,2,0,7,0,0,0,10
361,38,37,2,5,5,3,9,11,4,13,6,5,7,5,26,7,24,0,4,14,0,5,4,12,21,5,7,6,3,11,10,0,3,0,10,5,1,2,0,0,0,21
362,55,90,7,4,0,2,19,35,43,23,9,3,0,0,11,7,65,2,5,55,41,28,9,5,83,17,25,33,8,70,13,3,4,16,24,14,8,14,0,0,0,83
363,132,151,17,8,17,9,25,43,29,35,31,51,12,6,19,3,242,0,2,17,9,22,18,37,86,17,27,34,8,42,44,7,12,29,19,17,2,0,0,0,0,86
364,68,92,9,13,13,7,20,23,29,18,12,12,0,4,25,0,120,3,1,11,2,13,6,21,42,11,17,9,5,21,21,4,7,18,12,1,0,0,0,0,0,42
